trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
132,0,132,0,262.6036969000015,,262.5846433000006,5,262.6036969000015,262.6036969000015,0.010941799999272916,264.879608700001,[-0.44722222222222224],[-0.1787037037037037],[1],[0],[0],[2.284538399999292],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
133,0,133,0,264.89769530000194,,264.881764400001,5,264.89769530000194,264.89769530000194,0.009952899999916553,266.51207169999907,[0.39537037037037037],[-0.33240740740740743],[1],[0],[0],[1.6205362000000605],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
134,0,134,0,266.5510400999992,,266.51420169999983,10,266.5510400999992,266.5510400999992,0.02374689999851398,268.0280378999996,[-0.09814814814814815],[0.001851851851851852],[1],[0],[0],[1.4895665000003646],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
135,0,135,0,268.0677219999998,,268.03099900000234,10,268.0677219999998,268.0677219999998,0.020520000001852168,269.6263835999998,[-0.4787037037037037],[0.12129629629629629],[1],[0],[0],[1.575054500000988],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
136,0,136,0,269.64388770000005,,269.62850510000135,5,269.64388770000005,269.64388770000005,0.009958200000255601,271.4943568000017,[0.023148148148148147],[-0.2759259259259259],[1],[0],[0],[1.8556975000028615],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
137,0,137,0,271.52807600000233,,271.49713340000017,10,271.52807600000233,271.52807600000233,0.019291799999336945,273.10749120000037,[0.4898148148148148],[0.22037037037037038],[1],[0],[0],[1.5912755999997898],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
138,0,138,0,273.1503264999992,,273.1096757000014,10,273.1503264999992,273.1503264999992,0.023269900000741472,278.4055178000017,[0.07685185185185185],[0.5],[1],[0],[0],[5.272444199999882],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
139,0,139,0,278.42455150000023,,278.4085355000025,5,278.42455150000023,278.42455150000023,0.010603099999570986,279.97026650000043,[0.3472222222222222],[-0.19166666666666668],[1],[0],[0],[1.5514968000024965],[],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
140,0,140,0,280.00619089999964,,279.97255470000164,10,280.00619089999964,280.00619089999964,0.020015999998577172,282.21804070000144,[-0.15092592592592594],[-0.2611111111111111],[1],[0],[0],[2.2256222999967576],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
141,0,141,0,282.2370206000014,,282.2202968999991,5,282.2370206000014,282.2370206000014,0.010387099999206839,283.6515939000019,[0.13425925925925927],[0.4638888888888889],[1],[0],[0],[1.4209021000024222],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
142,0,142,0,283.6731949999994,,283.6556567000007,5,283.6731949999994,283.6731949999994,0.011012400002073264,284.8836956000014,[0.43148148148148147],[0.18981481481481483],[1],[0],[0],[1.2175291999992623],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
